a2jmidid 9-5
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
new-session-manager 1.6.1-2
nilfs-utils 2.2.11-1
ninja 1.12.1-2
njconnect 1.6-4
nm-connection-editor 1.36.0-1
noise-repellent 0.2.3-3
noto-fonts 1:2025.03.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
npth 1.8-1
nspr 4.36-1
nss 3.109-1
ntfs-3g 2022.10.3-1
ntk 1.3.1001-4
numactl 2.0.19-1
nwg-look 1.0.2-1
ob-xd 2.10-4
ob-xd-common 2.10-4
ob-xd-lv2 2.10-4
ob-xd-standalone 2.10-4
ob-xd-vst3 2.10-4
ocl-icd 2.3.2-2
odin2-synthesizer 2.3.4-3
odin2-synthesizer-clap 2.3.4-3
odin2-synthesizer-common 2.3.4-3
odin2-synthesizer-lv2 2.3.4-3
odin2-synthesizer-standalone 2.3.4-3
odin2-synthesizer-vst3 2.3.4-3
opencore-amr 0.1.6-2
openjpeg2 2.5.3-1
